Año,Mes,Población total,Población de 15 años y más,Población económicamente activa (PEA),PEA Ocupada,PEA Desocupada,Población no económicamente activa (PNEA),PNEA Disponible,PNEA No disponible,3. Población ocupada por,3.1 Posición en la ocupación,Trabajadores subordinados y remunerados,Empleadores,Trabajadores por cuenta propia,Trabajadores no remunerados,No especificado,3.2 Sector de actividad económica,Primario,"Agricultura, ganadería, silvicultura, caza y pesca",Secundario ,"Industria extractiva, de la electricidad y manufacturera",Construcción,Terciario,Comercio,"Restaurantes y servicios de alojamiento, transportes, comunicaciones, correo y almacenamiento","Servicios profesionales, financieros y corporativos","Servicios sociales, gobierno y organismos internacionales",Servicios diversos,No especificado,3.3 Nivel de ingresos,Hasta un salario mínimo,Más de 1 hasta 2 salarios mínimos,Más de 2 hasta 3 salarios mínimos,Más de 3 hasta 5 salarios mínimos,Más de 5 salarios mínimos,No recibe ingresos,No especificado,3.6 Ámbito y tamaño de la unidad económica,Ámbito agropecuario,Ámbito no agropecuario,Micronegocios,Pequeños establecimientos,Medianos establecimientos,Grandes establecimientos,Gobierno y otros,No especificado,3.7 Distribución por tipo de unidad económica,Empresas y negocios,Instituciones,Sector de los hogares,Situaciones de carácter especial y no especificadas,3.8 Condición de informalidad,Ocupación formal,Ocupación informal,Sector informal,Fuera de sector informal,Tasa de desocupación de la población económicamente activa
2005.00,Ene,106636791.00,72721263.00,42836764.00,41143856.00,1692908.00,29884499.00,4259052.00,25625447.00,41143856.00,41143856.00,26530372.00,2027625.00,9594912.00,2990947.00,0.00,41143856.00,6294647.00,6294647.00,10413518.00,7321917.00,3091601.00,24088747.00,8050993.00,4565210.00,2228184.00,5209684.00,4034676.00,346944.00,41143856.00,6042705.00,10138484.00,7645742.00,7132132.00,4113729.00,3883275.00,2187789.00,41143856.00,6294647.00,34560699.00,16634132.00,6429457.00,4103117.00,3610698.00,3783295.00,288510.00,41143856.00,20972378.00,5462533.00,14325144.00,383801.00,41143856.00,16812313.00,24331543.00,11237793.00,13093750.00,
2005.00,Feb,106636382.00,72978361.00,42976836.00,41355190.00,1621646.00,30001525.00,4066985.00,25934540.00,41355190.00,41355190.00,26653343.00,1998350.00,9857280.00,2846217.00,0.00,41355190.00,6428276.00,6428276.00,10701106.00,7341856.00,3359250.00,23905665.00,8054733.00,4472601.00,2108644.00,5096201.00,4173486.00,320143.00,41355190.00,6068083.00,10033887.00,8102768.00,7221086.00,4013786.00,3614719.00,2300861.00,41355190.00,6428276.00,34424024.00,16921201.00,5855873.00,4013152.00,3778000.00,3855798.00,502890.00,41355190.00,20838765.00,5517809.00,14660917.00,337699.00,41355190.00,16749424.00,24605766.00,11609180.00,12996586.00,
2005.00,Mar,106637862.00,73078716.00,43198606.00,41631760.00,1566846.00,29880110.00,4007808.00,25872302.00,41631760.00,41631760.00,26690023.00,1804688.00,10087194.00,3049855.00,0.00,41631760.00,6086930.00,6086930.00,10920395.00,7584732.00,3335663.00,24326066.00,8158555.00,4345799.00,2145026.00,5451790.00,4224896.00,298369.00,41631760.00,6264403.00,9691136.00,7928762.00,7348548.00,4209063.00,4000275.00,2189573.00,41631760.00,6086930.00,35041213.00,17208724.00,6177857.00,4048933.00,3705770.00,3899929.00,503617.00,41631760.00,20497620.00,5778682.00,15057197.00,298261.00,41631760.00,16733864.00,24897896.00,11915677.00,12982219.00,
2005.00,Abr,106933592.00,72863898.00,42399530.00,40973459.00,1426071.00,30464368.00,4363313.00,26101055.00,40973459.00,40973459.00,26264075.00,2065098.00,9762342.00,2881944.00,0.00,40973459.00,5956578.00,5956578.00,10503272.00,7312330.00,3190942.00,24278838.00,8095623.00,4547323.00,2188166.00,5469103.00,3978623.00,234771.00,40973459.00,5973883.00,9350592.00,7894953.00,7417377.00,4356633.00,3658619.00,2321402.00,40973459.00,5956578.00,34524470.00,16791059.00,6424040.00,3917693.00,3644265.00,3747413.00,492411.00,40973459.00,20410203.00,5763049.00,14554036.00,246171.00,40973459.00,16733176.00,24240283.00,11656958.00,12583325.00,
2005.00,May,106932062.00,73128180.00,43188612.00,41761793.00,1426819.00,29939568.00,4399856.00,25539712.00,41761793.00,41761793.00,26917073.00,1912612.00,9910860.00,3021248.00,0.00,41761793.00,6420408.00,6420408.00,10654487.00,7360625.00,3293862.00,24417144.00,8282969.00,4571047.00,2262697.00,5163070.00,4137361.00,269754.00,41761793.00,6407787.00,9818517.00,7939913.00,7474289.00,4068266.00,3845147.00,2207874.00,41761793.00,6420408.00,34778366.00,17042879.00,5926002.00,4263672.00,3561989.00,3983824.00,563019.00,41761793.00,21019711.00,5535524.00,14922332.00,284226.00,41761793.00,16642758.00,25119035.00,11687354.00,13431681.00,
2005.00,Jun,106936262.00,73475351.00,43611423.00,42092805.00,1518618.00,29863928.00,4440362.00,25423566.00,42092805.00,42092805.00,26843756.00,1911376.00,10204844.00,3132829.00,0.00,42092805.00,6512693.00,6512693.00,10782180.00,7467571.00,3314609.00,24531933.00,8098246.00,4370005.00,2179969.00,5434210.00,4449503.00,265999.00,42092805.00,6322203.00,9288118.00,8111375.00,7733575.00,4398031.00,4122695.00,2116808.00,42092805.00,6512693.00,35048742.00,16888730.00,6425801.00,4034071.00,3643567.00,4056573.00,531370.00,42092805.00,20686758.00,5731300.00,15387851.00,286896.00,42092805.00,16862891.00,25229914.00,11790088.00,13439826.00,
2005.00,Jul,107239965.00,73396736.00,44065694.00,42336837.00,1728857.00,29331042.00,4084641.00,25246401.00,42336837.00,42336837.00,26810712.00,2009949.00,10185746.00,3330430.00,0.00,42336837.00,6567670.00,6567670.00,10685547.00,7439793.00,3245754.00,24666768.00,8264514.00,4643753.00,2295778.00,5394559.00,4068164.00,416852.00,42336837.00,6196005.00,9469818.00,8060646.00,7668188.00,4480752.00,4375550.00,2085878.00,42336837.00,6567670.00,35323881.00,17340942.00,6503669.00,4030876.00,3500817.00,3947577.00,445286.00,42336837.00,20968830.00,5590895.00,15349626.00,427486.00,42336837.00,16896744.00,25440093.00,11846546.00,13593547.00,
2005.00,Ago,107240153.00,73254365.00,43639188.00,42037595.00,1601593.00,29615177.00,4592463.00,25022714.00,42037595.00,42037595.00,26774213.00,2046901.00,9982755.00,3233726.00,0.00,42037595.00,6817331.00,6817331.00,10767259.00,7375576.00,3391683.00,24116643.00,8220129.00,4427806.00,2218590.00,5254918.00,3995200.00,336362.00,42037595.00,6055760.00,9470375.00,8132417.00,7574842.00,4371842.00,4313431.00,2118928.00,42037595.00,6817331.00,34659769.00,17005729.00,6033932.00,4145703.00,3443414.00,4030991.00,560495.00,42037595.00,20854620.00,5629513.00,15210707.00,342755.00,42037595.00,16656884.00,25380711.00,11594966.00,13785745.00,
2005.00,Sep,107240412.00,73789522.00,43941163.00,42368761.00,1572402.00,29848359.00,4477798.00,25370561.00,42368761.00,42368761.00,27000589.00,1885462.00,10354691.00,3128019.00,0.00,42368761.00,6499732.00,6499732.00,10766763.00,7413126.00,3353637.00,24744765.00,8012367.00,4629056.00,2083067.00,5625847.00,4394428.00,357501.00,42368761.00,6388663.00,9084524.00,8313244.00,7749546.00,4422049.00,4251442.00,2159293.00,42368761.00,6499732.00,35360761.00,16987548.00,6448904.00,4173395.00,3648800.00,4102114.00,508268.00,42368761.00,20499683.00,5945019.00,15558964.00,365095.00,42368761.00,17026618.00,25342143.00,11905227.00,13436916.00,
2005.00,Oct,107548714.00,73841761.00,44198554.00,42701993.00,1496561.00,29643207.00,4428968.00,25214239.00,42701993.00,42701993.00,27501486.00,2052359.00,10132598.00,3015550.00,0.00,42701993.00,5958700.00,5958700.00,10909425.00,7480424.00,3429001.00,25554937.00,8420519.00,4816013.00,2353726.00,5736217.00,4228462.00,278931.00,42701993.00,5942039.00,9341755.00,8474739.00,8245080.00,4603346.00,3862630.00,2232404.00,42701993.00,5958700.00,36207152.00,17777774.00,6408091.00,4237700.00,3653868.00,4129719.00,536141.00,42701993.00,20932837.00,5989080.00,15501603.00,278473.00,42701993.00,17250061.00,25451932.00,12255144.00,13196788.00,
