Año,Mes,Población total,Población de 15 años y más,Población económicamente activa (PEA),PEA Ocupada,PEA Desocupada,Población no económicamente activa (PNEA),PNEA Disponible,PNEA No disponible,3. Población ocupada por,3.1 Posición en la ocupación,Trabajadores subordinados y remunerados,Empleadores,Trabajadores por cuenta propia,Trabajadores no remunerados,No especificado,3.2 Sector de actividad económica,Primario,"Agricultura, ganadería, silvicultura, caza y pesca",Secundario ,"Industria extractiva, de la electricidad y manufacturera",Construcción,Terciario,Comercio,"Restaurantes y servicios de alojamiento, transportes, comunicaciones, correo y almacenamiento","Servicios profesionales, financieros y corporativos","Servicios sociales, gobierno y organismos internacionales",Servicios diversos,No especificado,3.3 Nivel de ingresos,Hasta un salario mínimo,Más de 1 hasta 2 salarios mínimos,Más de 2 hasta 3 salarios mínimos,Más de 3 hasta 5 salarios mínimos,Más de 5 salarios mínimos,No recibe ingresos,No especificado,3.6 Ámbito y tamaño de la unidad económica,Ámbito agropecuario,Ámbito no agropecuario,Micronegocios,Pequeños establecimientos,Medianos establecimientos,Grandes establecimientos,Gobierno y otros,No especificado,3.7 Distribución por tipo de unidad económica,Empresas y negocios,Instituciones,Sector de los hogares,Situaciones de carácter especial y no especificadas,3.8 Condición de informalidad,Ocupación formal,Ocupación informal,Sector informal,Fuera de sector informal,Tasa de desocupación de la población económicamente activa,COVID.19
2005,Ene,106636791,72721263,42836764,41143856,1692908,29884499,4259052,25625447,41143856,41143856,26530372,2027625,9594912,2990947,0,41143856,6294647,6294647,10413518,7321917,3091601,24088747,8050993,4565210,2228184,5209684,4034676,346944,41143856,6042705,10138484,7645742,7132132,4113729,3883275,2187789,41143856,6294647,34560699,16634132,6429457,4103117,3610698,3783295,288510,41143856,20972378,5462533,14325144,383801,41143856,16812313,24331543,11237793,13093750,,0
2005,Feb,106636382,72978361,42976836,41355190,1621646,30001525,4066985,25934540,41355190,41355190,26653343,1998350,9857280,2846217,0,41355190,6428276,6428276,10701106,7341856,3359250,23905665,8054733,4472601,2108644,5096201,4173486,320143,41355190,6068083,10033887,8102768,7221086,4013786,3614719,2300861,41355190,6428276,34424024,16921201,5855873,4013152,3778000,3855798,502890,41355190,20838765,5517809,14660917,337699,41355190,16749424,24605766,11609180,12996586,,0
2005,Mar,106637862,73078716,43198606,41631760,1566846,29880110,4007808,25872302,41631760,41631760,26690023,1804688,10087194,3049855,0,41631760,6086930,6086930,10920395,7584732,3335663,24326066,8158555,4345799,2145026,5451790,4224896,298369,41631760,6264403,9691136,7928762,7348548,4209063,4000275,2189573,41631760,6086930,35041213,17208724,6177857,4048933,3705770,3899929,503617,41631760,20497620,5778682,15057197,298261,41631760,16733864,24897896,11915677,12982219,,0
2005,Abr,106933592,72863898,42399530,40973459,1426071,30464368,4363313,26101055,40973459,40973459,26264075,2065098,9762342,2881944,0,40973459,5956578,5956578,10503272,7312330,3190942,24278838,8095623,4547323,2188166,5469103,3978623,234771,40973459,5973883,9350592,7894953,7417377,4356633,3658619,2321402,40973459,5956578,34524470,16791059,6424040,3917693,3644265,3747413,492411,40973459,20410203,5763049,14554036,246171,40973459,16733176,24240283,11656958,12583325,,0
2005,May,106932062,73128180,43188612,41761793,1426819,29939568,4399856,25539712,41761793,41761793,26917073,1912612,9910860,3021248,0,41761793,6420408,6420408,10654487,7360625,3293862,24417144,8282969,4571047,2262697,5163070,4137361,269754,41761793,6407787,9818517,7939913,7474289,4068266,3845147,2207874,41761793,6420408,34778366,17042879,5926002,4263672,3561989,3983824,563019,41761793,21019711,5535524,14922332,284226,41761793,16642758,25119035,11687354,13431681,,0
2005,Jun,106936262,73475351,43611423,42092805,1518618,29863928,4440362,25423566,42092805,42092805,26843756,1911376,10204844,3132829,0,42092805,6512693,6512693,10782180,7467571,3314609,24531933,8098246,4370005,2179969,5434210,4449503,265999,42092805,6322203,9288118,8111375,7733575,4398031,4122695,2116808,42092805,6512693,35048742,16888730,6425801,4034071,3643567,4056573,531370,42092805,20686758,5731300,15387851,286896,42092805,16862891,25229914,11790088,13439826,,0
2005,Jul,107239965,73396736,44065694,42336837,1728857,29331042,4084641,25246401,42336837,42336837,26810712,2009949,10185746,3330430,0,42336837,6567670,6567670,10685547,7439793,3245754,24666768,8264514,4643753,2295778,5394559,4068164,416852,42336837,6196005,9469818,8060646,7668188,4480752,4375550,2085878,42336837,6567670,35323881,17340942,6503669,4030876,3500817,3947577,445286,42336837,20968830,5590895,15349626,427486,42336837,16896744,25440093,11846546,13593547,,0
2005,Ago,107240153,73254365,43639188,42037595,1601593,29615177,4592463,25022714,42037595,42037595,26774213,2046901,9982755,3233726,0,42037595,6817331,6817331,10767259,7375576,3391683,24116643,8220129,4427806,2218590,5254918,3995200,336362,42037595,6055760,9470375,8132417,7574842,4371842,4313431,2118928,42037595,6817331,34659769,17005729,6033932,4145703,3443414,4030991,560495,42037595,20854620,5629513,15210707,342755,42037595,16656884,25380711,11594966,13785745,,0
2005,Sep,107240412,73789522,43941163,42368761,1572402,29848359,4477798,25370561,42368761,42368761,27000589,1885462,10354691,3128019,0,42368761,6499732,6499732,10766763,7413126,3353637,24744765,8012367,4629056,2083067,5625847,4394428,357501,42368761,6388663,9084524,8313244,7749546,4422049,4251442,2159293,42368761,6499732,35360761,16987548,6448904,4173395,3648800,4102114,508268,42368761,20499683,5945019,15558964,365095,42368761,17026618,25342143,11905227,13436916,,0
2005,Oct,107548714,73841761,44198554,42701993,1496561,29643207,4428968,25214239,42701993,42701993,27501486,2052359,10132598,3015550,0,42701993,5958700,5958700,10909425,7480424,3429001,25554937,8420519,4816013,2353726,5736217,4228462,278931,42701993,5942039,9341755,8474739,8245080,4603346,3862630,2232404,42701993,5958700,36207152,17777774,6408091,4237700,3653868,4129719,536141,42701993,20932837,5989080,15501603,278473,42701993,17250061,25451932,12255144,13196788,,0
